AMASKCD,COUNT_RECOM,COUNT_TP
71901.0,21,77
71922.0,141,3415
71952.0,45,159
71953.0,11,53
71964.0,2,6
71985.0,4,5
71986.0,57,70
72001.0,17,63
72004.0,0,1
72009.0,1,0
72014.0,176,564
72015.0,58,293
72023.0,3,52
72026.0,2,8
72029.0,45,158
72030.0,77,167
72032.0,157,619
72069.0,125,253
72075.0,17,35
72086.0,92,204
72088.0,251,1213
72093.0,9,0
72094.0,140,1329
72106.0,69,271
72112.0,47,252
72113.0,25,96
72116.0,126,551
72175.0,0,1
72183.0,10,96
72194.0,136,859
72213.0,5,17
72229.0,13,51
72280.0,16,30
72302.0,92,282
72349.0,0,1
72399.0,2,2
72404.0,94,422
72445.0,153,841
72446.0,55,333
72454.0,128,874
72459.0,101,304
72469.0,113,697
72481.0,174,1102
72491.0,2,2
72500.0,0,1
72523.0,108,31
72532.0,147,504
72538.0,7,4
72545.0,136,1542
72546.0,13,48
72603.0,38,132
72606.0,31,129
72649.0,148,1426
72653.0,38,136
72668.0,11,24
72672.0,144,696
72676.0,38,86
72677.0,42,239
72712.0,26,192
72740.0,30,116
72792.0,34,104
72794.0,7,15
72795.0,11,29
72799.0,54,171
72800.0,11,12
72824.0,22,0
72848.0,74,489
72849.0,157,352
72907.0,73,381
72943.0,40,102
72971.0,120,625
72986.0,183,1550
72993.0,0,6
73000.0,0,2
73010.0,185,1010
73089.0,145,377
73107.0,4,23
73111.0,185,1203
73117.0,0,1
73172.0,1,1
73184.0,32,187
73213.0,62,85
73225.0,9,101
73228.0,15,29
73237.0,18,184
73238.0,5,5
73244.0,0,1
73269.0,98,1191
73272.0,1,6
73276.0,65,485
73290.0,62,378
73309.0,18,0
73310.0,57,2
73314.0,167,1066
73315.0,55,195
73319.0,103,264
73364.0,1,1
73367.0,11,174
73402.0,20,123
73430.0,43,290
73459.0,0,2
73502.0,1458,63
73510.0,158,1167
73511.0,67,394
73519.0,13,21
73520.0,116,670
73538.0,14,47
73551.0,122,603
73561.0,1,5
73565.0,25,126
73581.0,77,1052
73590.0,8,55
73595.0,150,526
73598.0,70,242
73608.0,56,160
73619.0,188,133
73680.0,15,0
73681.0,396,1734
73685.0,0,1
73713.0,1,22
73714.0,20,142
73716.0,21,53
73726.0,15,34
73732.0,5,4
73734.0,228,790
73767.0,62,233
73780.0,14,151
73832.0,49,115
73844.0,16,72
73852.0,9,9
73856.0,33,65
73867.0,96,401
73925.0,2,3
73928.0,65,186
73932.0,2,4
73941.0,23,114
73943.0,19,13
73945.0,5,66
73964.0,10,22
73999.0,21,56
74011.0,1,0
74016.0,164,1204
74021.0,114,510
74075.0,32,49
74120.0,6,59
74125.0,0,1
74157.0,1,4
74159.0,5,14
74161.0,58,119
74191.0,67,56
74192.0,60,278
74221.0,16,43
74269.0,15,46
74274.0,96,232
74370.0,54,70
74410.0,84,0
74439.0,0,1
74443.0,69,288
74454.0,85,432
74455.0,1,8
74468.0,0,5
74517.0,1,8
74543.0,1,3
74710.0,97,468
74730.0,27,0
74756.0,186,1973
74835.0,135,536
74847.0,2,2
74898.0,1,1
74947.0,1,6
74958.0,172,408
74962.0,10,24
74983.0,32,139
74984.0,8,21
74988.0,0,1
74990.0,83,258
74992.0,59,626
75007.0,57,242
75022.0,13,19
75061.0,265,841
75101.0,151,1154
75103.0,36,272
75110.0,60,142
75116.0,111,241
75121.0,110,638
75131.0,319,1598
75135.0,37,25
75136.0,67,150
75140.0,116,447
75172.0,2,4
75194.0,6,11
75200.0,29,3
75201.0,3,4
75220.0,172,1926
75222.0,57,160
75227.0,0,2
75228.0,56,347
75262.0,53,271
75323.0,66,236
75389.0,4,8
75435.0,5,9
75469.0,32,44
75476.0,20,45
75490.0,103,268
75514.0,14,47
75570.0,46,81
75571.0,8,9
75605.0,4,23
75649.0,29,0
75676.0,395,1388
75687.0,0,1
75691.0,63,130
75720.0,36,64
75734.0,116,428
75738.0,20,158
75740.0,10,11
75749.0,46,90
75750.0,57,139
75752.0,5,11
75753.0,1,0
75754.0,2,1
75767.0,1,0
75866.0,0,16
75922.0,40,490
75944.0,32,375
75964.0,3,13
75966.0,5,22
75974.0,19,67
76029.0,13,83
76099.0,7,0
76101.0,29,45
76270.0,5,19
76313.0,4,6
76314.0,8,16
